Designator,Mid X,Mid Y,Rotation,Layer
R3_8,118.350049,-31.666414,0.0,top
R3_7,85.843666,-97.145707,0.0,top
R3_6,118.410203,-97.118081,0.0,top
R3_5,118.406689,-64.399688,0.0,top
R3_4,53.176689,-64.401697,0.0,top
R3_3,85.76176,-31.659688,0.0,top
R3_2,53.176689,-31.659688,0.0,top
R3,85.802713,-64.400937,0.0,top
R4_9,51.714679,-113.55359,180.0,top
R4_8,116.877549,-48.099914,180.0,top
R4_7,84.371166,-113.579207,180.0,top
R4_6,116.937703,-113.551581,180.0,top
R4_5,116.934189,-80.833188,180.0,top
R4_4,51.704189,-80.835197,180.0,top
R4_3,84.28926,-48.093188,180.0,top
R4_2,51.704189,-48.093188,180.0,top
R4,84.330213,-80.834437,180.0,top
R5_9,51.717179,-116.08559,180.0,top
R5_8,116.880049,-50.631914,180.0,top
R5_7,84.373666,-116.111207,180.0,top
R5_6,116.940203,-116.083581,180.0,top
R5_5,116.936689,-83.365188,180.0,top
R5_4,51.706689,-83.367197,180.0,top
R5_3,84.29176,-50.625188,180.0,top
R5_2,51.706689,-50.625188,180.0,top
R5,84.332713,-83.366437,180.0,top
R6_9,51.714679,-118.57759,180.0,top
R6_8,116.877549,-53.123914,180.0,top
R6_7,84.371166,-118.603207,180.0,top
R6_6,116.937703,-118.575581,180.0,top
R6_5,116.934189,-85.857188,180.0,top
R6_4,51.704189,-85.859197,180.0,top
R6_3,84.28926,-53.117188,180.0,top
R6_2,51.704189,-53.117188,180.0,top
R6,84.330213,-85.858437,180.0,top
R7_9,51.714679,-121.10959,180.0,top
R7_8,116.877549,-55.655914,180.0,top
R7_7,84.371166,-121.135207,180.0,top
R7_6,116.937703,-121.107581,180.0,top
R7_5,116.934189,-88.389188,180.0,top
R7_4,51.704189,-88.391197,180.0,top
R7_3,84.28926,-55.649188,180.0,top
R7_2,51.704189,-55.649188,180.0,top
R7,84.330213,-88.390437,180.0,top
R8_9,51.714679,-123.63159,180.0,top
R8_8,116.877549,-58.177914,180.0,top
R8_7,84.371166,-123.657207,180.0,top
R8_6,116.937703,-123.629581,180.0,top
R8_5,116.934189,-90.911188,180.0,top
R8_4,51.704189,-90.913197,180.0,top
R8_3,84.28926,-58.171188,180.0,top
R8_2,51.704189,-58.171188,180.0,top
R8,84.330213,-90.912437,180.0,top
R9_9,70.744466,-124.019153,0.0,top
R9_8,135.907336,-58.565477,0.0,top
R9_7,103.400953,-124.04477,0.0,top
R9_6,135.96749,-124.017144,0.0,top
R9_5,135.963976,-91.298751,0.0,top
R9_4,70.733976,-91.30076,0.0,top
R9_3,103.319047,-58.558751,0.0,top
R9_2,70.733976,-58.558751,0.0,top
R9,103.36,-91.3,0.0,top
U1_9,66.617179,-100.93759,0.0,top
U1_8,131.780049,-35.483914,0.0,top
U1_7,99.273666,-100.963207,0.0,top
U1_6,131.840203,-100.935581,0.0,top
U1_5,131.836689,-68.217188,0.0,top
U1_4,66.606689,-68.219197,0.0,top
U1_3,99.19176,-35.477188,0.0,top
U1_2,66.606689,-35.477188,0.0,top
U1,99.232713,-68.218437,0.0,top
U2_9,51.237179,-102.63009,270.0,top
U2_8,116.400049,-37.176414,270.0,top
U2_7,83.893666,-102.655707,270.0,top
U2_6,116.460203,-102.628081,270.0,top
U2_5,116.456689,-69.909688,270.0,top
U2_4,51.226689,-69.911697,270.0,top
U2_3,83.81176,-37.169688,270.0,top
U2_2,51.226689,-37.169688,270.0,top
U2,83.852713,-69.910937,270.0,top
